Question,Answer Choices,Correct Answer
What is the traditional Christmas dessert in England?,"A. Mince pie, B. Yule log, C. Fruitcake, D. Pudding",A. Mince pie
"In the movie ""A Charlie Brown Christmas,"" what does Charlie Brown's little sister Sally want for Christmas?","A. A doll, B. A bicycle, C. Real estate, D. Money",A. Real estate
"In Italy, children receive gifts from La Befana, a friendly witch.","T. True, F. False",T. True
"Which Christmas carol includes the lyric, ""O tidings of comfort and joy""?","A. Hark! The Herald Angels Sing, B. Joy to the World, C. Angels We Have Heard on High, D. God Rest Ye Merry Gentlemen",D. God Rest Ye Merry Gentlemen
"""Auld Lang Syne"" is traditionally sung on New Year's Eve.","T. True, F. False",T. True
What popular Christmas plant is known for its red and green leaves?,"A. Poinsettia, B. Holly, C. Mistletoe, D. Christmas Cactus",A. Poinsettia
"In the movie ""How the Grinch Stole Christmas,"" what does the Grinch use as a substitute for reindeer?","A. Dogs, B. Cats, C. Rats, D. Eagles",B. Dogs
The tradition of Christmas stockings originated in Italy.,"T. True, F. False",F. False
"What is the name of the boy who receives a BB gun for Christmas in the film ""A Christmas Story""?","A. Ralphie, B. Randy, C. Robbie, D. Ricky",A. Ralphie
"In the song ""Do You Hear What I Hear?"" what is the ""night wind"" said to say?","A. Peace on Earth, B. Joy to the World, C. Goodwill to men, D. Silent night",A. Peace on Earth
"""Feliz Navidad"" means ""Merry Christmas"" in Italian.","T. True, F. False",F. False
"What is the name of the character voiced by Jim Carrey in the film adaptation of ""How the Grinch Stole Christmas""?","A. Max, B. Lou, C. Carl, D. Grinch",D. Grinch
"In the traditional song ""The Twelve Days of Christmas,"" what does my true love give to me on the second day?","A. Two Turtle Doves, B. Two French Hens, C. Two Calling Birds, D. Two Golden Rings",B. Two Turtle Doves
Christmas was illegal in England between 1647 and 1660.,"T. True, F. False",T. True
"What is the main ingredient in the traditional Mexican Christmas beverage ""atole""?","A. Chocolate, B. Corn, C. Rice, D. Coffee",B. Corn
"In the movie ""National Lampoon's Christmas Vacation,"" what does Clark Griswold receive as a Christmas bonus?","A. Jelly of the Month Club membership, B. Cash, C. Gift card, D. Fruitcake",A. Jelly of the Month Club membership
"""The 12 Days of Christmas"" actually begin on December 25th and end on January 5th.","T. True, F. False",T. True
What is the name of the youngest reindeer in Santa's sleigh?,"A. Rudolph, B. Blitzen, C. Cupid, D. Vixen",A. Rudolph
"In the song ""We Wish You a Merry Christmas,"" what do the carolers demand before leaving?","A. Figgy pudding, B. Fruitcake, C. Candy canes, D. Eggnog",A. Figgy pudding
"The famous poem ""The Night Before Christmas"" was written by Edgar Allan Poe.","T. True, F. False",F. False
What is the Italian word for Christmas?,"A. Natale, B. Buon Natale, C. Felice Natale, D. Buonanno",A. Natale
"In the movie ""Elf,"" what is Buddy's biological father's job?","A. Publisher, B. Dentist, C. Chef, D. Businessman",A. Publisher
The Rockefeller Center Christmas Tree in New York City is always a donated tree.,"T. True, F. False",T. True
"What is the name of the snowman in the 1969 animated TV special ""Frosty the Snowman""?","A. Frosty, B. Chilly, C. Snowy, D. Icy",A. Frosty
"In the song ""Silver Bells,"" what is ""it's Christmas time in the city"" referring to?","A. Shopping, B. Caroling, C. Snowfall, D. Decorations",A. Shopping
"Christmas Island, an Australian territory, is located in the Indian Ocean.","T. True, F. False",T. True
